stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
1,38831,בי''ס בר לב/בן יהודה, רחוב:בן יהודה 76 עיר: כפר סבא רציף:   קומה:  ,32.183939,34.917812,0,,6900
2,38832,הרצל/צומת בילו, רחוב:הרצל  עיר: קרית עקרון רציף:   קומה:  ,31.870034,34.819541,0,,469
3,38833,הנחשול/הדייגים, רחוב:הנחשול 30 עיר: ראשון לציון רציף:   קומה:  ,31.984558,34.782815,0,,8300
6,38836,ת. מרכזית לוד/הורדה, רחוב:  עיר: לוד רציף:   קומה:  ,31.956576,34.898125,0,,7000
7,38837,חנה אברך/וולקני, רחוב:חנה אברך 9 עיר: רחובות רציף:   קומה:  ,31.892166,34.796071,0,,8400
8,38838,הרצל/משה שרת, רחוב:הרצל 20 עיר: קרית עקרון רציף:   קומה:  ,31.857565,34.824106,0,,469
9,38839,הבנים/אלי כהן, רחוב:הבנים 4 עיר: קרית עקרון רציף:   קומה:  ,31.862305,34.821857,0,,469
10,38840,ויצמן/הבנים, רחוב:וייצמן 11 עיר: קרית עקרון רציף:   קומה:  ,31.865085,34.822237,0,,469
11,38841,האירוס/הכלנית, רחוב:האירוס 16 עיר: קרית עקרון רציף:   קומה:  ,31.865255,34.818914,0,,469
12,38842,הכלנית/הנרקיס, רחוב:הכלנית  עיר: קרית עקרון רציף:   קומה:  ,31.867601,34.818383,0,,469
14,38844,אלי כהן/לוחמי הגטאות, רחוב:אלי כהן 62 עיר: קרית עקרון רציף:   קומה:  ,31.862440,34.827023,0,,469
15,38845,שבזי/שבת אחים, רחוב:שבזי 40 עיר: קרית עקרון רציף:   קומה:  ,31.863501,34.828702,0,,469
16,38846,שבזי/ויצמן, רחוב:שבזי 31 עיר: קרית עקרון רציף:   קומה:  ,31.865348,34.827102,0,,469
17,38847,חיים בר לב/שדרות יצחק רבין, רחוב:חיים ברלב  עיר: ראשון לציון רציף:   קומה:  ,31.976725,34.763351,0,,8300
18,38848,מרכז לבריאות הנפש לב השרון, רחוב:  עיר: צור משה רציף:   קומה:  ,32.300344,34.912707,0,,276
19,38849,מרכז לבריאות הנפש לב השרון, רחוב:  עיר: צור משה רציף:   קומה:  ,32.301348,34.912601,0,,276
22,38852,הולצמן/המדע, רחוב:חיים הולצמן  עיר: רחובות רציף:   קומה:  ,31.914260,34.807966,0,,8400
24,38854,מחנה צריפין/מועדון, רחוב:  עיר: באר יעקב רציף:   קומה:  ,31.963668,34.836363,0,,2530
25,38855,הרצל/גולני, רחוב:הרצל 4 עיר: קרית עקרון רציף:   קומה:  ,31.856107,34.825239,0,,469
29,38859,הערבה, רחוב:הערבה  עיר: צור משה רציף:   קומה:  ,32.300033,34.910841,0,,276
30,38860,מבוא הגפן/מורד התאנה, רחוב:מבוא הגפן  עיר: ינוב רציף:   קומה:  ,32.305234,34.948647,0,,753
31,38861,מבוא הגפן/ההרחבה, רחוב:מבוא הגפן  עיר: ינוב רציף:   קומה:  ,32.304022,34.943393,0,,753
32,38862,ההרחבה א, רחוב:ההרחבה  עיר: גאולים רציף:   קומה:  ,32.302957,34.940529,0,,379
33,38863,ההרחבה ב, רחוב:ההרחבה  עיר: גאולים רציף:   קומה:  ,32.300264,34.939512,0,,379
34,38864,ההרחבה/הותיקים, רחוב:ההרחבה  עיר: גאולים רציף:   קומה:  ,32.298171,34.938705,0,,379
35,38865,רשות שדות התעופה/העליה, רחוב:שדרות העליה  עיר: נמל תעופה בן גוריון רציף:   קומה:  ,31.990876,34.897600,0,,1748
36,38866,כנף/ברוש, רחוב:כנף  עיר: נמל תעופה בן גוריון רציף:   קומה:  ,31.998767,34.879725,0,,1748
37,38867,החבורה/דב הוז, רחוב:החבורה 24 עיר: רחובות רציף:   קומה:  ,31.883019,34.818708,0,,8400
39,38869,בית הלוי ה, רחוב:  עיר: בית הלוי רציף:   קומה:  ,32.349776,34.926836,0,,14039
40,38870,הראשונים/כביש 5700, רחוב:המגדל 13 עיר: כפר חיים רציף:   קומה:  ,32.352953,34.899465,0,,193
42,38872,הגאון בן איש חי/צאלון, רחוב:  עיר: רחובות רציף:   קומה:  ,31.897286,34.775083,0,,8400
43,38873,עוקשי/לוי אשכול, רחוב:ישראל עוקשי 4 עיר: רחובות רציף:   קומה:  ,31.883941,34.807039,0,,8400
45,38875,מנוחה ונחלה/יהודה גורודיסקי, רחוב:מנוחה ונחלה 31 עיר: רחובות רציף:   קומה:  ,31.896755,34.816718,0,,8400
46,38876,גורודסקי/יחיאל פלדי, רחוב:יהודה גורודיסקי  עיר: רחובות רציף:   קומה:  ,31.898463,34.823461,0,,8400
48,38878,דרך הפארק/הרב נריה, רחוב:דרך הפארק 20 עיר: נתניה רציף:   קומה:  ,32.299994,34.878765,0,,7400
49,38879,התאנה/הגפן, רחוב:התאנה  עיר: יציץ רציף:   קומה:  ,31.865457,34.859437,0,,759
50,38880,התאנה/האלון, רחוב:התאנה  עיר: יציץ רציף:   קומה:  ,31.866772,34.864555,0,,759
51,38881,דרך הפרחים/יסמין, רחוב:דרך הפרחים 46 עיר: גדרה רציף:   קומה:  ,31.809325,34.784347,0,,2550
53,38883,יצחק רבין/פנחס ספיר, רחוב:דרך יצחק רבין  עיר: גדרה רציף:   קומה:  ,31.800370,34.778239,0,,2550
54,38884,מנחם בגין/יצחק רבין, רחוב:שדרות מנחם בגין 4 עיר: גדרה רציף:   קומה:  ,31.799224,34.782985,0,,2550
55,38885,חיים הרצוג/דולב, רחוב:חיים הרצוג 12 עיר: גדרה רציף:   קומה:  ,31.800334,34.785069,0,,2550
56,38886,בית ספר גוונים/ארז, רחוב:ארז 2 עיר: גדרה רציף:   קומה:  ,31.802319,34.786735,0,,2550
57,38887,דרך האילנות/אלון, רחוב:דרך האילנות 13 עיר: גדרה רציף:   קומה:  ,31.804595,34.786623,0,,2550
58,38888,דרך האילנות/מנחם בגין, רחוב:דרך האילנות 3 עיר: גדרה רציף:   קומה:  ,31.805041,34.785098,0,,2550
60,38890,וייצמן/מרבד הקסמים, רחוב:וייצמן 19 עיר: גדרה רציף:   קומה:  ,31.816579,34.779753,0,,2550
61,38891,צאלה/אלמוג, רחוב:צאלה 25 עיר: גדרה רציף:   קומה:  ,31.801182,34.787199,0,,2550
62,38892,גן חצב/צאלה, רחוב:צאלה 15 עיר: גדרה רציף:   קומה:  ,31.802279,34.786055,0,,2550
63,38893,פינס/לוינסון, רחוב:פינס 23 עיר: גדרה רציף:   קומה:  ,31.814676,34.777574,0,,2550
64,38894,פיינברג/שכביץ, רחוב:פיינברג 4 עיר: גדרה רציף:   קומה:  ,31.813285,34.775928,0,,2550
65,38895,בן-גוריון/פוקס, רחוב:שדרות בן גוריון 39 עיר: גדרה רציף:   קומה:  ,31.806959,34.773504,0,,2550
67,38897,בן-גוריון/בן גפן, רחוב:שדרות בן גוריון 46 עיר: גדרה רציף:   קומה:  ,31.806074,34.775072,0,,2550
68,38898,לוי אשכול/הרב דוד ישראל, רחוב:לוי אשכול  עיר: רחובות רציף:   קומה:  ,31.884187,34.805494,0,,8400
69,38899,שושן/אופנהיימר, רחוב:ד''ר אריה שושן  עיר: רחובות רציף:   קומה:  ,31.910117,34.805809,0,,8400
71,38901,הרב דוד ישראל/אריה דולצין, רחוב:הרב דוד ישראל 63 עיר: רחובות רציף:   קומה:  ,31.882474,34.805060,0,,8400
73,38903,קרוננברג/ארגמן, רחוב:יוסף קרוננברג  עיר: רחובות רציף:   קומה:  ,31.878667,34.811380,0,,8400
74,38904,יעקב פריימן/בנימין שמוטקין, רחוב:יעקב פריימן 9 עיר: ראשון לציון רציף:   קומה:  ,31.975479,34.813355,0,,8300
75,38905,אנילביץ'/שלום אש, רחוב:אנילביץ' 13 עיר: ראשון לציון רציף:   קומה:  ,31.982176,34.789451,0,,8300
76,38906,נחמיה/בית העלמין, רחוב:נחמיה 71 עיר: ראשון לציון רציף:   קומה:  ,31.948548,34.822422,0,,8300
77,38907,יהודה הלוי/יוחנן הסנדלר, רחוב:יהודה הלוי 85 עיר: ראשון לציון רציף:   קומה:  ,31.967698,34.816018,0,,8300
78,38908,ההגנה/חי''ש, רחוב:ההגנה 37 עיר: רחובות רציף:   קומה:  ,31.893823,34.824617,0,,8400
79,38909,קרית עקרון/כביש 411, רחוב:411  עיר: גזר רציף:   קומה:  ,31.854230,34.824545,0,,12926
80,38910,צומת חולדה/כביש 411, רחוב:411  עיר: גזר רציף:   קומה:  ,31.811764,34.900924,0,,12921
81,38911,גרינשפן/יגאל אלון, רחוב:גרינשפן 8 עיר: ראשון לציון רציף:   קומה:  ,31.956842,34.814839,0,,8300
82,38912,השומר/האבות, רחוב:השומר 22 עיר: ראשון לציון רציף:   קומה:  ,31.959818,34.814754,0,,8300
83,38913,משה שרת/יעקב קנר, רחוב:משה שרת 38 עיר: ראשון לציון רציף:   קומה:  ,31.992306,34.756910,0,,8300
84,38914,הדייגים/הנחשול, רחוב:הדייגים 47 עיר: ראשון לציון רציף:   קומה:  ,31.984969,34.782615,0,,8300
86,38916,יוסף בורג/משואות יצחק, רחוב:ד''ר יוסף בורג 9 עיר: ראשון לציון רציף:   קומה:  ,31.968053,34.818097,0,,8300
87,38917,יוסף בורג/כתריאל רפפורט, רחוב:ד''ר יוסף בורג  עיר: ראשון לציון רציף:   קומה:  ,31.968940,34.820041,0,,8300
89,38919,וייצמן/דרך יצחק רבין, רחוב:וייצמן  עיר: נס ציונה רציף:   קומה:  ,31.923042,34.798028,0,,7200
90,38920,שדרות משה דיין/יוסף לישנסקי, רחוב:שדרות משה דיין  עיר: ראשון לציון רציף:   קומה:  ,31.985680,34.764014,0,,8300
91,38921,השר חיים שפירא/יוסף ספיר, רחוב:השר חיים משה שפירא 4 עיר: ראשון לציון רציף:   קומה:  ,31.992583,34.751999,0,,8300
92,38922,השר חיים שפירא/הרב שלום ג'רופי, רחוב:השר חיים משה שפירא 16 עיר: ראשון לציון רציף:   קומה:  ,31.990757,34.755683,0,,8300
94,39001,שדרות יעקב/יוסף הנשיא, רחוב:שדרות יעקב 65 עיר: ראשון לציון רציף:   קומה:  ,31.950253,34.819242,0,,8300
95,39002,שדרות יעקב/עזרא, רחוב:שדרות יעקב 59 עיר: ראשון לציון רציף:   קומה:  ,31.951117,34.819757,0,,8300
97,39004,לייב יוספזון/יעקב ברמן, רחוב:יהודה לייב יוספזון  עיר: רחובות רציף:   קומה:  ,31.905052,34.818909,0,,8400
98,39005,הרב יעקב ברמן/הרב יהודה צבי מלצר, רחוב:הרב יעקב ברמן  עיר: רחובות רציף:   קומה:  ,31.901879,34.819443,0,,8400
99,39006,ברמן/מלצר, רחוב:הרב יעקב ברמן  עיר: רחובות רציף:   קומה:  ,31.902810,34.818922,0,,8400
100,39007,הנשיא הראשון/מכון-ויצמן, רחוב:הנשיא הראשון 55 עיר: רחובות רציף:   קומה:  ,31.904577,34.815294,0,,8400
